[bwa_index] Pack FASTA... 202.57 sec
[bwa_index] Construct BWT for the packed sequence...
[BWTIncConstructFromPacked] 3450 iterations done. 34500000000 characters processed.
[BWTIncConstructFromPacked] 3460 iterations done. 34600000000 characters processed.
[BWTIncConstructFromPacked] 3470 iterations done. 34700000000 characters processed.
[BWTIncConstructFromPacked] 3480 iterations done. 34800000000 characters processed.
[BWTIncConstructFromPacked] 3490 iterations done. 34900000000 characters processed.
[BWTIncConstructFromPacked] 3500 iterations done. 35000000000 characters processed.
[BWTIncConstructFromPacked] 3510 iterations done. 35100000000 characters processed.
[BWTIncConstructFromPacked] 3520 iterations done. 35200000000 characters processed.
[BWTIncConstructFromPacked] 3530 iterations done. 35300000000 characters processed.
[BWTIncConstructFromPacked] 3540 iterations done. 35400000000 characters processed.
[BWTIncConstructFromPacked] 3550 iterations done. 35500000000 characters processed.
[BWTIncConstructFromPacked] 3560 iterations done. 35600000000 characters processed.
[BWTIncConstructFromPacked] 3570 iterations done. 35700000000 characters processed.
[BWTIncConstructFromPacked] 3580 iterations done. 35800000000 characters processed.
[BWTIncConstructFromPacked] 3590 iterations done. 35900000000 characters processed.
[BWTIncConstructFromPacked] 3600 iterations done. 36000000000 characters processed.
[BWTIncConstructFromPacked] 3610 iterations done. 36100000000 characters processed.
[BWTIncConstructFromPacked] 3620 iterations done. 36200000000 characters processed.
[BWTIncConstructFromPacked] 3630 iterations done. 36300000000 characters processed.
[BWTIncConstructFromPacked] 3640 iterations done. 36400000000 characters processed.
[BWTIncConstructFromPacked] 3650 iterations done. 36500000000 characters processed.
[BWTIncConstructFromPacked] 3660 iterations done. 36600000000 characters processed.
[BWTIncConstructFromPacked] 3670 iterations done. 36700000000 characters processed.
[BWTIncConstructFromPacked] 3680 iterations done. 36800000000 characters processed.
[BWTIncConstructFromPacked] 3690 iterations done. 36900000000 characters processed.
[BWTIncConstructFromPacked] 3700 iterations done. 37000000000 characters processed.
[BWTIncConstructFromPacked] 3710 iterations done. 37100000000 characters processed.
[BWTIncConstructFromPacked] 3720 iterations done. 37200000000 characters processed.
[BWTIncConstructFromPacked] 3730 iterations done. 37300000000 characters processed.
[BWTIncConstructFromPacked] 3740 iterations done. 37400000000 characters processed.
[BWTIncConstructFromPacked] 3750 iterations done. 37500000000 characters processed.
[BWTIncConstructFromPacked] 3760 iterations done. 37600000000 characters processed.
[BWTIncConstructFromPacked] 3770 iterations done. 37700000000 characters processed.
[BWTIncConstructFromPacked] 3780 iterations done. 37800000000 characters processed.
[BWTIncConstructFromPacked] 3790 iterations done. 37900000000 characters processed.
[BWTIncConstructFromPacked] 3800 iterations done. 38000000000 characters processed.
[BWTIncConstructFromPacked] 3810 iterations done. 38100000000 characters processed.
[BWTIncConstructFromPacked] 3820 iterations done. 38200000000 characters processed.
[BWTIncConstructFromPacked] 3830 iterations done. 38300000000 characters processed.
